Total paths: 3030
Negative slack paths: 0
Top 5.0% worst paths (count=152):
Startpoint	Endpoint	Slack
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6104_/D (sky130_fd_sc_hd__dfxtp_1)	4.319
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6145_/D (sky130_fd_sc_hd__dfxtp_1)	4.324
_5800_/Q (sky130_fd_sc_hd__dfxtp_4)	_6415_/D (sky130_fd_sc_hd__dfxtp_4)	4.33
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6079_/D (sky130_fd_sc_hd__dfxtp_1)	4.334
_5792_/Q (sky130_fd_sc_hd__dfxtp_4)	_6423_/D (sky130_fd_sc_hd__dfxtp_4)	4.335
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6155_/D (sky130_fd_sc_hd__dfxtp_1)	4.342
_5924_/Q (sky130_fd_sc_hd__dfxtp_4)	_6413_/D (sky130_fd_sc_hd__dfxtp_4)	4.342
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6077_/D (sky130_fd_sc_hd__dfxtp_1)	4.343
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6078_/D (sky130_fd_sc_hd__dfxtp_1)	4.344
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6087_/D (sky130_fd_sc_hd__dfxtp_1)	4.344
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6085_/D (sky130_fd_sc_hd__dfxtp_1)	4.345
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6038_/D (sky130_fd_sc_hd__dfxtp_1)	4.352
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6033_/D (sky130_fd_sc_hd__dfxtp_1)	4.353
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6081_/D (sky130_fd_sc_hd__dfxtp_1)	4.357
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6105_/D (sky130_fd_sc_hd__dfxtp_1)	4.361
_5876_/Q (sky130_fd_sc_hd__dfxtp_4)	_6405_/D (sky130_fd_sc_hd__dfxtp_4)	4.365
_5925_/Q (sky130_fd_sc_hd__dfxtp_1)	_6074_/D (sky130_fd_sc_hd__dfxtp_1)	4.368
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6111_/D (sky130_fd_sc_hd__dfxtp_1)	4.37
_5894_/Q (sky130_fd_sc_hd__dfxtp_4)	_6399_/D (sky130_fd_sc_hd__dfxtp_4)	4.37
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6109_/D (sky130_fd_sc_hd__dfxtp_1)	4.375
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6037_/D (sky130_fd_sc_hd__dfxtp_1)	4.377
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6103_/D (sky130_fd_sc_hd__dfxtp_1)	4.377
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6106_/D (sky130_fd_sc_hd__dfxtp_1)	4.379
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6102_/D (sky130_fd_sc_hd__dfxtp_1)	4.38
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6100_/D (sky130_fd_sc_hd__dfxtp_1)	4.383
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6107_/D (sky130_fd_sc_hd__dfxtp_1)	4.386
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6101_/D (sky130_fd_sc_hd__dfxtp_1)	4.403
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6036_/D (sky130_fd_sc_hd__dfxtp_1)	4.406
_5904_/Q (sky130_fd_sc_hd__dfxtp_4)	_6409_/D (sky130_fd_sc_hd__dfxtp_4)	4.409
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6088_/D (sky130_fd_sc_hd__dfxtp_1)	4.421
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6031_/D (sky130_fd_sc_hd__dfxtp_1)	4.433
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6034_/D (sky130_fd_sc_hd__dfxtp_1)	4.436
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6080_/D (sky130_fd_sc_hd__dfxtp_1)	4.444
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6035_/D (sky130_fd_sc_hd__dfxtp_1)	4.455
_5925_/Q (sky130_fd_sc_hd__dfxtp_4)	_6414_/D (sky130_fd_sc_hd__dfxtp_4)	4.463
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5395_/DE (sky130_fd_sc_hd__edfxtp_1)		4.484
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5404_/DE (sky130_fd_sc_hd__edfxtp_1)		4.484
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5405_/DE (sky130_fd_sc_hd__edfxtp_1)		4.484
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5408_/DE (sky130_fd_sc_hd__edfxtp_1)		4.484
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5409_/DE (sky130_fd_sc_hd__edfxtp_1)		4.484
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5413_/DE (sky130_fd_sc_hd__edfxtp_1)		4.484
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5418_/DE (sky130_fd_sc_hd__edfxtp_1)		4.484
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5455_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5459_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5468_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5469_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5472_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5473_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5477_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5481_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5482_/DE (sky130_fd_sc_hd__edfxtp_1)		4.485
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5461_/DE (sky130_fd_sc_hd__edfxtp_1)		4.486
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6032_/D (sky130_fd_sc_hd__dfxtp_1)	4.494
_6177_/Q (sky130_fd_sc_hd__dfxtp_1)	_6560_/D (sky130_fd_sc_hd__dfxtp_1)	4.499
_5911_/Q (sky130_fd_sc_hd__dfxtp_4)	_6400_/D (sky130_fd_sc_hd__dfxtp_4)	4.508
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6122_/D (sky130_fd_sc_hd__dfxtp_1)	4.513
_5930_/Q (sky130_fd_sc_hd__dfxtp_4)	_6419_/D (sky130_fd_sc_hd__dfxtp_4)	4.515
_6177_/Q (sky130_fd_sc_hd__dfxtp_1)	_6563_/D (sky130_fd_sc_hd__dfxtp_1)	4.517
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6152_/D (sky130_fd_sc_hd__dfxtp_1)	4.518
_6177_/Q (sky130_fd_sc_hd__dfxtp_1)	_6564_/D (sky130_fd_sc_hd__dfxtp_1)	4.521
_6177_/Q (sky130_fd_sc_hd__dfxtp_1)	_6568_/D (sky130_fd_sc_hd__dfxtp_1)	4.521
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6154_/D (sky130_fd_sc_hd__dfxtp_1)	4.532
_5884_/Q (sky130_fd_sc_hd__edfxtp_1) _4531_/DE (sky130_fd_sc_hd__edfxtp_1)		4.534
_5884_/Q (sky130_fd_sc_hd__edfxtp_1) _4541_/DE (sky130_fd_sc_hd__edfxtp_1)		4.534
_5884_/Q (sky130_fd_sc_hd__edfxtp_1) _4544_/DE (sky130_fd_sc_hd__edfxtp_1)		4.534
_5884_/Q (sky130_fd_sc_hd__edfxtp_1) _4553_/DE (sky130_fd_sc_hd__edfxtp_1)		4.534
_5884_/Q (sky130_fd_sc_hd__edfxtp_1) _4554_/DE (sky130_fd_sc_hd__edfxtp_1)		4.534
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6071_/D (sky130_fd_sc_hd__dfxtp_1)	4.534
_5884_/Q (sky130_fd_sc_hd__edfxtp_1) _4527_/DE (sky130_fd_sc_hd__edfxtp_1)		4.535
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6149_/D (sky130_fd_sc_hd__dfxtp_1)	4.544
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6120_/D (sky130_fd_sc_hd__dfxtp_1)	4.577
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5487_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5491_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5500_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5501_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5504_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5505_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5509_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5513_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5514_/DE (sky130_fd_sc_hd__edfxtp_1)		4.601
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5485_/DE (sky130_fd_sc_hd__edfxtp_1)		4.602
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5489_/DE (sky130_fd_sc_hd__edfxtp_1)		4.602
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5493_/DE (sky130_fd_sc_hd__edfxtp_1)		4.602
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5515_/DE (sky130_fd_sc_hd__edfxtp_1)		4.602
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5498_/DE (sky130_fd_sc_hd__edfxtp_1)		4.603
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6150_/D (sky130_fd_sc_hd__dfxtp_1)	4.603
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6075_/D (sky130_fd_sc_hd__dfxtp_1)	4.608
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6119_/D (sky130_fd_sc_hd__dfxtp_1)	4.619
