Total paths: 3030
Negative slack paths: 0
Top 5.0% worst paths (count=152):
Startpoint	Endpoint	Slack
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6039_/D (sky130_fd_sc_hd__dfxtp_1)	3.92
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6040_/D (sky130_fd_sc_hd__dfxtp_1)	3.944
_5988_/Q (sky130_fd_sc_hd__dfrtp_4)	_5988_/D (sky130_fd_sc_hd__dfrtp_4)	3.96
_5987_/Q (sky130_fd_sc_hd__dfrtp_4)	_5987_/D (sky130_fd_sc_hd__dfrtp_4)	3.961
_6022_/Q (sky130_fd_sc_hd__dfrtp_4)	_6022_/D (sky130_fd_sc_hd__dfrtp_4)	3.992
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6123_/D (sky130_fd_sc_hd__dfxtp_1)	3.992
_5982_/Q (sky130_fd_sc_hd__dfrtp_4)	_5982_/D (sky130_fd_sc_hd__dfrtp_4)	4.012
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6143_/D (sky130_fd_sc_hd__dfxtp_1)	4.014
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6133_/D (sky130_fd_sc_hd__dfxtp_1)	4.019
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6125_/D (sky130_fd_sc_hd__dfxtp_1)	4.031
_5800_/Q (sky130_fd_sc_hd__dfxtp_4)	_6415_/D (sky130_fd_sc_hd__dfxtp_4)	4.038
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6145_/D (sky130_fd_sc_hd__dfxtp_1)	4.051
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6121_/D (sky130_fd_sc_hd__dfxtp_1)	4.054
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6124_/D (sky130_fd_sc_hd__dfxtp_1)	4.061
_5989_/Q (sky130_fd_sc_hd__dfrtp_4)	_5989_/D (sky130_fd_sc_hd__dfrtp_4)	4.065
_5981_/Q (sky130_fd_sc_hd__dfrtp_4)	_5981_/D (sky130_fd_sc_hd__dfrtp_4)	4.067
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6084_/D (sky130_fd_sc_hd__dfxtp_1)	4.073
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6128_/D (sky130_fd_sc_hd__dfxtp_1)	4.074
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6157_/D (sky130_fd_sc_hd__dfxtp_1)	4.078
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6155_/D (sky130_fd_sc_hd__dfxtp_1)	4.085
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6132_/D (sky130_fd_sc_hd__dfxtp_1)	4.092
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6082_/D (sky130_fd_sc_hd__dfxtp_1)	4.093
_5983_/Q (sky130_fd_sc_hd__dfrtp_4)	_5983_/D (sky130_fd_sc_hd__dfrtp_4)	4.097
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6038_/D (sky130_fd_sc_hd__dfxtp_1)	4.101
_5984_/Q (sky130_fd_sc_hd__dfrtp_4)	_5984_/D (sky130_fd_sc_hd__dfrtp_4)	4.107
_5985_/Q (sky130_fd_sc_hd__dfrtp_4)	_5985_/D (sky130_fd_sc_hd__dfrtp_4)	4.124
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6086_/D (sky130_fd_sc_hd__dfxtp_1)	4.144
_5895_/Q (sky130_fd_sc_hd__dfxtp_4)	_6400_/D (sky130_fd_sc_hd__dfxtp_4)	4.149
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6073_/D (sky130_fd_sc_hd__dfxtp_1)	4.155
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6033_/D (sky130_fd_sc_hd__dfxtp_1)	4.157
_5924_/Q (sky130_fd_sc_hd__dfxtp_4)	_6413_/D (sky130_fd_sc_hd__dfxtp_4)	4.174
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6130_/D (sky130_fd_sc_hd__dfxtp_1)	4.182
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6127_/D (sky130_fd_sc_hd__dfxtp_1)	4.186
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6126_/D (sky130_fd_sc_hd__dfxtp_1)	4.195
_5925_/Q (sky130_fd_sc_hd__dfxtp_1)	_6074_/D (sky130_fd_sc_hd__dfxtp_1)	4.197
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6036_/D (sky130_fd_sc_hd__dfxtp_1)	4.208
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6037_/D (sky130_fd_sc_hd__dfxtp_1)	4.222
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6087_/D (sky130_fd_sc_hd__dfxtp_1)	4.225
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6031_/D (sky130_fd_sc_hd__dfxtp_1)	4.23
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6079_/D (sky130_fd_sc_hd__dfxtp_1)	4.234
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6083_/D (sky130_fd_sc_hd__dfxtp_1)	4.234
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6085_/D (sky130_fd_sc_hd__dfxtp_1)	4.234
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6077_/D (sky130_fd_sc_hd__dfxtp_1)	4.245
_5925_/Q (sky130_fd_sc_hd__dfxtp_4)	_6414_/D (sky130_fd_sc_hd__dfxtp_4)	4.251
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6034_/D (sky130_fd_sc_hd__dfxtp_1)	4.254
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6154_/D (sky130_fd_sc_hd__dfxtp_1)	4.257
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6035_/D (sky130_fd_sc_hd__dfxtp_1)	4.261
_5920_/Q (sky130_fd_sc_hd__dfxtp_4)	_6409_/D (sky130_fd_sc_hd__dfxtp_4)	4.268
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6078_/D (sky130_fd_sc_hd__dfxtp_1)	4.269
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6152_/D (sky130_fd_sc_hd__dfxtp_1)	4.276
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6081_/D (sky130_fd_sc_hd__dfxtp_1)	4.287
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6032_/D (sky130_fd_sc_hd__dfxtp_1)	4.289
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6149_/D (sky130_fd_sc_hd__dfxtp_1)	4.295
_5792_/Q (sky130_fd_sc_hd__dfxtp_4)	_6423_/D (sky130_fd_sc_hd__dfxtp_4)	4.298
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6088_/D (sky130_fd_sc_hd__dfxtp_1)	4.303
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6111_/D (sky130_fd_sc_hd__dfxtp_1)	4.318
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6102_/D (sky130_fd_sc_hd__dfxtp_1)	4.326
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6122_/D (sky130_fd_sc_hd__dfxtp_1)	4.344
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6120_/D (sky130_fd_sc_hd__dfxtp_1)	4.357
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6150_/D (sky130_fd_sc_hd__dfxtp_1)	4.357
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5481_/DE (sky130_fd_sc_hd__edfxtp_1)		4.358
_5930_/Q (sky130_fd_sc_hd__dfxtp_4)	_6419_/D (sky130_fd_sc_hd__dfxtp_4)	4.366
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6080_/D (sky130_fd_sc_hd__dfxtp_1)	4.367
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5455_/DE (sky130_fd_sc_hd__edfxtp_1)		4.368
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6109_/D (sky130_fd_sc_hd__dfxtp_1)	4.385
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6142_/D (sky130_fd_sc_hd__dfxtp_1)	4.394
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5487_/DE (sky130_fd_sc_hd__edfxtp_1)		4.428
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6071_/D (sky130_fd_sc_hd__dfxtp_1)	4.431
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5489_/DE (sky130_fd_sc_hd__edfxtp_1)		4.432
_6177_/Q (sky130_fd_sc_hd__dfxtp_1)	_6560_/D (sky130_fd_sc_hd__dfxtp_1)	4.434
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5459_/DE (sky130_fd_sc_hd__edfxtp_1)		4.435
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5498_/DE (sky130_fd_sc_hd__edfxtp_1)		4.435
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5405_/DE (sky130_fd_sc_hd__edfxtp_1)		4.437
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6104_/D (sky130_fd_sc_hd__dfxtp_1)	4.439
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5493_/DE (sky130_fd_sc_hd__edfxtp_1)		4.44
_5522_/Q (sky130_fd_sc_hd__dfxtp_1)	_6051_/D (sky130_fd_sc_hd__dfxtp_1)	4.444
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6027_/D (sky130_fd_sc_hd__dfxtp_1)	4.453
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6029_/D (sky130_fd_sc_hd__dfxtp_1)	4.455
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5485_/DE (sky130_fd_sc_hd__edfxtp_1)		4.463
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6146_/D (sky130_fd_sc_hd__dfxtp_1)	4.473
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5482_/DE (sky130_fd_sc_hd__edfxtp_1)		4.486
_5522_/Q (sky130_fd_sc_hd__dfxtp_1)	_6064_/D (sky130_fd_sc_hd__dfxtp_1)	4.486
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5468_/DE (sky130_fd_sc_hd__edfxtp_1)		4.487
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6140_/D (sky130_fd_sc_hd__dfxtp_1)	4.488
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5418_/DE (sky130_fd_sc_hd__edfxtp_1)		4.489
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6147_/D (sky130_fd_sc_hd__dfxtp_1)	4.489
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5404_/DE (sky130_fd_sc_hd__edfxtp_1)		4.49
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6105_/D (sky130_fd_sc_hd__dfxtp_1)	4.494
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6030_/D (sky130_fd_sc_hd__dfxtp_1)	4.499
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5513_/DE (sky130_fd_sc_hd__edfxtp_1)		4.506
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6100_/D (sky130_fd_sc_hd__dfxtp_1)	4.507
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6103_/D (sky130_fd_sc_hd__dfxtp_1)	4.509
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6144_/D (sky130_fd_sc_hd__dfxtp_1)	4.509
_6177_/Q (sky130_fd_sc_hd__dfxtp_1)	_6563_/D (sky130_fd_sc_hd__dfxtp_1)	4.509
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5477_/DE (sky130_fd_sc_hd__edfxtp_1)		4.51
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5515_/DE (sky130_fd_sc_hd__edfxtp_1)		4.51
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6106_/D (sky130_fd_sc_hd__dfxtp_1)	4.51
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5395_/DE (sky130_fd_sc_hd__edfxtp_1)		4.512
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5408_/DE (sky130_fd_sc_hd__edfxtp_1)		4.512
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5413_/DE (sky130_fd_sc_hd__edfxtp_1)		4.512
_5518_/Q (sky130_fd_sc_hd__dfxtp_1)	_6107_/D (sky130_fd_sc_hd__dfxtp_1)	4.517
_5539_/Q (sky130_fd_sc_hd__edfxtp_1) _5461_/DE (sky130_fd_sc_hd__edfxtp_1)		4.518
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6119_/D (sky130_fd_sc_hd__dfxtp_1)	4.519
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6156_/D (sky130_fd_sc_hd__dfxtp_1)	4.523
_6186_/Q (sky130_fd_sc_hd__dfxtp_1)	_6101_/D (sky130_fd_sc_hd__dfxtp_1)	4.526
