Total paths: 1006
Negative slack paths: 399
Top 5.0% worst paths (count=51):
Startpoint	Endpoint	Slack
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6738_/D (sky130_fd_sc_hd__dfstp_2)	-2.647
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6770_/D (sky130_fd_sc_hd__dfstp_2)	-2.639
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6731_/D (sky130_fd_sc_hd__dfstp_2)	-2.637
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6769_/D (sky130_fd_sc_hd__dfstp_2)	-2.627
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6760_/D (sky130_fd_sc_hd__dfstp_2)	-2.622
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6786_/D (sky130_fd_sc_hd__dfstp_2)	-2.613
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6768_/D (sky130_fd_sc_hd__dfstp_2)	-2.612
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6747_/D (sky130_fd_sc_hd__dfstp_2)	-2.607
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6771_/D (sky130_fd_sc_hd__dfstp_2)	-2.607
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6784_/D (sky130_fd_sc_hd__dfstp_2)	-2.606
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6737_/D (sky130_fd_sc_hd__dfstp_2)	-2.603
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6781_/D (sky130_fd_sc_hd__dfstp_2)	-2.594
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6779_/D (sky130_fd_sc_hd__dfstp_2)	-2.587
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6780_/D (sky130_fd_sc_hd__dfstp_2)	-2.587
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6745_/D (sky130_fd_sc_hd__dfstp_2)	-2.584
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6743_/D (sky130_fd_sc_hd__dfstp_2)	-2.582
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6782_/D (sky130_fd_sc_hd__dfstp_2)	-2.579
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6774_/D (sky130_fd_sc_hd__dfstp_2)	-2.57
_7465_/Q (sky130_fd_sc_hd__dfrtp_1)	_6757_/D (sky130_fd_sc_hd__dfrtp_1)	-2.565
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6773_/D (sky130_fd_sc_hd__dfstp_2)	-2.562
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6744_/D (sky130_fd_sc_hd__dfstp_2)	-2.558
_7465_/Q (sky130_fd_sc_hd__dfrtp_1)	_6795_/D (sky130_fd_sc_hd__dfrtp_1)	-2.552
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6749_/D (sky130_fd_sc_hd__dfstp_2)	-2.549
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6766_/D (sky130_fd_sc_hd__dfstp_2)	-2.549
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6785_/D (sky130_fd_sc_hd__dfstp_2)	-2.548
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6778_/D (sky130_fd_sc_hd__dfstp_2)	-2.544
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6748_/D (sky130_fd_sc_hd__dfstp_2)	-2.54
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6776_/D (sky130_fd_sc_hd__dfstp_2)	-2.54
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6783_/D (sky130_fd_sc_hd__dfstp_2)	-2.533
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6767_/D (sky130_fd_sc_hd__dfstp_2)	-2.527
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6740_/D (sky130_fd_sc_hd__dfstp_2)	-2.526
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6777_/D (sky130_fd_sc_hd__dfstp_2)	-2.526
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6772_/D (sky130_fd_sc_hd__dfstp_2)	-2.521
